                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.48029,                0.46545,                0.61342,                0.89036,                0.97002,                0.97917,                0.98923,                  0.825,                0.97002,                0.97917,                0.97213,                0.75912,                0.61545,                 2.3594,                0.72769,                0.90508,              0.0015446,              0.0015446,              0.0015446
                     26,                0.50893,                0.48485,                0.58424,                0.88322,                0.99518,                0.97917,                0.99214,                0.83532,                0.99518,                0.97917,                 0.9793,                  0.771,                 0.5546,                 1.7411,                0.70721,                0.88613,              0.0015248,              0.0015248,              0.0015248
                     27,                0.52357,                0.39245,                 0.6334,                0.89522,                0.99695,                      1,                  0.995,                0.92056,                0.99695,                      1,                  0.995,                0.98063,                0.39639,                0.35033,                0.62428,                0.80255,               0.001505,               0.001505,               0.001505
                     28,                0.52185,                0.46622,                0.62507,                0.89331,                0.99761,                      1,                  0.995,                0.93289,                0.99761,                      1,                  0.995,                0.97209,                0.39977,                0.34199,                0.53077,                0.80544,              0.0014852,              0.0014852,              0.0014852
                     29,                0.45237,                0.47301,                0.55074,                 0.8562,                 0.9937,                      1,                  0.995,                0.93695,                 0.9937,                      1,                  0.995,                0.97701,                0.39298,                 0.3561,                0.49592,                0.80195,              0.0014654,              0.0014654,              0.0014654
                     30,                0.49746,                0.45001,                  0.568,                0.88394,                 0.9752,                0.97917,                0.98773,                0.90551,                 0.9752,                0.97917,                0.98773,                0.94779,                 0.4624,                0.42306,                0.56056,                0.86587,              0.0014456,              0.0014456,              0.0014456
                     31,                0.46528,                0.48285,                0.55027,                0.88691,                0.99125,                0.97917,                0.99382,                0.92331,                0.99125,                0.97917,                0.99382,                0.94675,                0.38397,                0.44536,                0.66393,                0.82283,              0.0014258,              0.0014258,              0.0014258
                     32,                0.43027,                0.39876,                 0.5123,                0.86584,                0.95651,                      1,                  0.995,                0.92822,                0.95651,                      1,                  0.995,                0.96276,                0.36028,                0.43307,                0.67932,                0.79022,               0.001406,               0.001406,               0.001406
                     33,                0.45117,                0.43583,                0.49615,                 0.8812,                0.97104,                      1,                  0.995,                  0.915,                0.97104,                      1,                  0.995,                0.96337,                0.39564,                0.36863,                0.62173,                0.83582,              0.0013862,              0.0013862,              0.0013862
                     34,                  0.441,                0.40697,                0.49771,                0.86858,                0.99816,                      1,                  0.995,                0.91174,                0.99816,                      1,                  0.995,                0.96029,                0.42727,                0.35318,                0.49346,                0.85491,              0.0013664,              0.0013664,              0.0013664
                     35,                0.46497,                0.42104,                0.50392,                0.87755,                0.99861,                      1,                  0.995,                0.91327,                0.99861,                      1,                  0.995,                0.96801,                0.41987,                0.38162,                  0.489,                 0.8591,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.4539,                0.42488,                0.48577,                0.86201,                0.99929,                      1,                  0.995,                0.91873,                0.99929,                      1,                  0.995,                0.96492,                0.40074,                0.38478,                0.49684,                0.81331,              0.0013268,              0.0013268,              0.0013268
